physical-property,astm-method,a,b,c,d
"Hardness, Shore A",-,80,90,93,95
Shore D,-,-,-,-,50
"Tensile, psi (MPa)",D412,3600 (25),4100 (28.3),5400 (37),5500 (37.9)
"Elogation At Break, %",D412,750,450,400,350
"100% Modulus, psi (MPa)",D412,560 (3.9),1000 (6.9),1800 (12.4),2200 (15.2)
"300% Modulus, psi (MPa)",D412,800 (5.5),1700 (11.7),3100 (21.4),4100 (28.3)
"Split Tear, lb./in. (kN/m)",D470,80 (14),65 (11.4),80 (14),125 (21.9)
"Die C Tear, lb./in. (kN/m)",D624,320 (56),370 (64.8),430 (75),500 (87.6)
"Bashore Rebound, %",D2632,55,50,45,42
"Compression Set (Method B) 22 Hours At 158째F (70째C), %",D395,45,25,30,32
"Compressive Modulus, psi (MPa)",,,,,
Third Cycle,D575,,,,
5%,,115 (0.8),210 (1.4),355 (2.5),500 (3.4)
10%,,190 (1.4),350 (2.4),590 (4.1),840 (5.8)
15%,,260 (1.8),490 (3.4),820 (5.7),1200 (8.3)
20%,,370 (2.6),680 (4.7),1130 (7.8),1650 (11.4)
25%,,520 (3.6),940 (6.5),1550 (10.7),2100 (14.5)
"Brittle Temperature, 째F (째C)",D748,<-94(<-70),<-94(<-70),<-94(<-70),<-94(<-70)
Spcific Gravity,D792,1.07,1.08,1.11,1.13
Dynamics,-,Very good,Excellent,Excellent,Excellent